Статус,IP,MAC,Vendor,Hostname,Model,OS,Type,Confidence,Flows,Bytes,MB,First Seen,Duration (sec),Hours Online,MB/h,Причина
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.12,72:32:37:36:52:DC,Xiaomi,Xiaomi-14T-Pro,,Android,Smartphone,95,262,4373149,4.17,2026-07-16 00:11:22,1990.51,0.55,7.54,Производитель: Xiaomi
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.30,96:3D:D5:49:41:08,Xiaomi,Redmi-Note-11,Redmi-Note-11,Android,Smartphone,70,42,263943,0.25,2026-07-16 00:18:33,126.46,0.04,7.17,Производитель: Xiaomi
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.28,1A:B9:88:4E:96:A8,Huawei,HONOR-X7c,HONOR-X7c,Android,Smartphone,90,168,3797660,3.62,2026-07-16 00:14:54,1859.36,0.52,7.01,Много flows (168) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.20,B2:27:36:E8:B5:34,Unknown,B2-27-36-E8-B5-34,,Linux,Network Device,40,153,5558144,5.3,2026-07-16 00:10:46,2726.85,0.76,7.0,Много flows (153) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.22,6E:C7:C7:B6:D2:6A,Unknown,6E-C7-C7-B6-D2-6A,,Linux,Network Device,40,554,5501650,5.25,2026-07-16 00:14:02,3641.08,1.01,5.19,Много flows (554) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.21,7A:13:EE:BD:27:EF,Huawei,HONOR-90-Lite,HONOR-90-Lite,Android,Smartphone,90,311,4472058,4.26,2026-07-16 00:11:05,3898.02,1.08,3.94,Много flows (311) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.29,7E:3A:1D:A7:91:3C,Unknown,7E-3A-1D-A7-91-3C,,Linux,Network Device,50,129,1341075,1.28,2026-07-16 00:15:01,1482.32,0.41,3.11,Много flows (129) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.26,CE:48:44:E8:04:C6,Unknown,CE-48-44-E8-04-C6,,Linux,Network Device,50,636,4476902,4.27,2026-07-16 00:14:50,5638.5,1.57,2.73,Много flows (636) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.19,BE:05:0D:A2:02:5F,Unknown,BE-05-0D-A2-02-5F,,Linux,Network Device,50,289,1409097,1.34,2026-07-16 00:11:20,1917.3,0.53,2.52,Много flows (289) при низком трафике
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.24,92:5F:FF:76:1B:AF,Xiaomi,Redmi-Note-13-Pro,Redmi-Note-13-Pro,Android,Smartphone,95,9,25671,0.02,2026-07-16 00:15:00,88.17,0.02,1.0,Производитель: Xiaomi
🔴 ПОДОЗРИТЕЛЬНЫЙ,192.168.1.25,3A:A6:7E:1B:B0:8D,Xiaomi,Redmi-12,Redmi-12,Android,Smartphone,95,2,3964,0.0,2026-07-16 00:13:46,79.96,0.02,0.17,Производитель: Xiaomi
🟢 НОРМАЛЬНЫЙ,192.168.1.18,D6:33:D1:78:A3:28,Unknown,Android-nin-A16,,Android,Smartphone,80,150,7167291,6.84,2026-07-16 00:12:38,1009.04,0.28,24.39,—
🟢 НОРМАЛЬНЫЙ,192.168.1.27,06:4E:33:A2:AB:60,Unknown,06-4E-33-A2-AB-60,,Linux,Network Device,50,237,16885518,16.1,2026-07-16 00:14:54,2881.17,0.8,20.12,—
🟢 НОРМАЛЬНЫЙ,192.168.1.250,5A:F9:75:BD:9A:C8,Unknown,5A-F9-75-BD-9A-C8,,Unknown,Mobile Device,55,13,85181,0.08,2026-07-16 00:18:16,22.88,0.01,12.78,—
🟢 НОРМАЛЬНЫЙ,192.168.1.15,52:D5:26:86:C6:C5,Unknown,52-D5-26-86-C6-C5,,Linux,Network Device,50,38,323798,0.31,2026-07-16 00:14:31,401.21,0.11,2.77,—
